City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,kulunda,52.566,78.9385,6.98,80,100,1.73,RU,1697125103
309,rey bouba,8.6724,14.1786,30.47,66,100,1.19,CM,1697125103
310,hermanus,-34.4187,19.2345,15.33,86,52,6.17,ZA,1697125103
311,sola,-13.8833,167.55,25.36,83,94,9.84,VU,1697125103
312,pangkalanbuun,-2.6833,111.6167,24.8,85,91,0.91,ID,1697125103
313,guigang,23.0964,109.6092,21.08,85,8,1.27,CN,1697125103
314,paita,-5.0892,-81.1144,23.4,69,79,4.45,PE,1697125104
315,stornara,41.2873,15.7698,26.82,45,0,4.04,IT,1697125104
316,huaibei,33.9744,116.7917,17.62,63,95,2.83,CN,1697125104
317,east london,-33.0153,27.9116,16.52,82,20,6.17,ZA,1697125104
318,ghogha,21.6833,72.2833,30.9,55,3,2.56,IN,1697125104
319,ponta delgada,37.7333,-25.6667,22.4,73,40,6.17,PT,1697125104
320,fort mcmurray,56.7268,-111.381,5.77,70,0,3.6,CA,1697125104
321,wanning,18.8003,110.3967,25.66,88,97,5.74,CN,1697125104
322,taksimo,56.3444,114.8794,7.62,60,100,0.89,RU,1697125105
323,port alfred,-33.5906,26.891,18.43,86,100,0.89,ZA,1697125105
324,kodinsk,58.6881,99.1844,5.24,76,100,2.82,RU,1697125105
325,jayapura,-2.5333,140.7,25.66,92,39,2.44,ID,1697125105
326,katsuura,35.1333,140.3,19.02,64,8,4.5,JP,1697125106
327,margate,51.3813,1.3862,18.83,91,100,0.89,GB,1697125106
328,richards bay,-28.783,32.0377,23.37,83,100,5.09,ZA,1697125106
329,brokopondo,4.75,-55.1667,31.8,51,23,0.42,SR,1697125106
330,xiongzhou,25.1167,114.3,20.15,79,81,1.23,CN,1697125106
331,alaghsas,17.0187,8.0168,35.94,14,0,9.26,NE,1697125106
332,pangody,65.85,74.4859,-0.22,88,91,1.99,RU,1697125106
333,korla,41.7597,86.1469,18.39,34,0,2.07,CN,1697125107
334,mossel bay,-34.1831,22.146,17.96,81,48,7.56,ZA,1697125107
335,alofi,-19.0595,-169.9187,20.94,94,98,2.06,NU,1697125107
336,touros,-5.1989,-35.4608,29.59,62,1,7.52,BR,1697125107
337,hamilton,39.1834,-84.5333,21.39,73,20,2.57,US,1697124854
338,dikhil,11.5,42.1667,29.19,45,51,3.37,DJ,1697125107
339,richfield,44.8833,-93.283,10.04,75,75,6.69,US,1697124872
340,hotan,37.0997,79.9269,17.8,21,0,2.09,CN,1697125107
341,villa gesell,-37.2639,-56.973,10.79,59,7,5.21,AR,1697125108
342,batken,39.8333,71.0,11.77,35,87,1.04,KG,1697125108
